Seq,Event,Matthew,Mark,Luke,John,Type
102,Rich man and Lazarus,,,16:19–31,,"parable, warning"
103,The Master and Servant,,,17:7–10,,parable
104,Cleansing ten lepers,,,17:11–19,,"miracle, healing, gratitude"
105,The Unjust Judge,,,18:1–8,,"parable, encouragement, faith, prayer"
106,Pharisee and the Tax Collector,,,18:9–14,,"parable, warning, encouragement, faith"
107,Divorce and celibacy,19:1–15,,,,"ministry, marriage, divorce"
108,Jesus and the rich young man,19:16–30,10:17–31,18:18–30,,"ministry, giving, following"
109,Jesus and the woman taken in adultery,,,,8:2–11,"ministry, forgiveness, adultery"
110,The Workers in the Vineyard,20:1–16,,,,"parable, kingdom of god"
111,Jesus predicts his death,20:17–19,"8:31
9:31
10:32–34",18:31–34,,ministry
112,The Blind at Birth,,,,9:1–12,miracle
113,Son of man came to serve,20:20–28,10:35–45,,,ministry
114,The Good Shepherd,,,,10:1–21,ministry
115,Blind near Jericho,20:29–34,10:46–52,18:35–43,,miracle
116,Raising of Lazarus,,,,11:1–44,miracle
117,Jesus and Zacchaeus,,,19:2–28,,ministry
118,Palm Sunday,21:1–11,11:1–11,19:29–44,12:12–19,ministry
119,Second Temple Cleansing,21:12–13,11:15–18,19:45–48,,ministry
120,Cursing the fig tree,21:18–22,11:12–14,,,miracle
121,Authority of Jesus Questioned,21:23–27,11:27–33,20:1–8,,ministry
122,The Two Sons,21:28–32,,,,parable
123,The Wicked Husbandmen,21:33–41,12:1–9,20:9–16,,parable
124,The Great Banquet,22:1–14,,14:16–24,,parable
125,Render unto Caesar...,22:15–22,12:13–17,20:20–26,,ministry
126,Woes of the Pharisees,23:1–39,12:35–37,20:45–47,,ministry
127,Widow's mite,,12:41–44,21:1–4,,sermon
128,Second Coming Prophecy,24:1–31,13:1–27,21:5–36,,ministry
129,The Budding Fig Tree,24:32–35,13:28–31,21:29–33,,parable
130,The Faithful Servant,24:42–51,13:34–37,12:35–48,,parable
131,The Ten Virgins,25:1–13,,,,parable
132,The Talents or Minas,25:14–30,,19:12–27,,parable
133,The Sheep and the Goats,25:31–46,,,,parable
134,Anointing of Jesus,26:1–13,14:3–9,7:36–50,12:2–8,ministry
135,Bargain of Judas,26:14–16,14:10–11,22:1–6,,miscellaneous
136,The Grain of Wheat,,,,12:24–26,ministry
137,Last Supper,26:26–29,14:18–21,22:17–20,13:1–31,ministry
138,Promising a Paraclete,,,,16:5–15,ministry
139,Gethsemane,26:36–46,14:32–42,22:39–46,,miscellaneous
140,The kiss of Judas,26:47–49,14:43–45,22:47–48,18:2–9,passion
141,Healing the ear of a servant,,,22:49–51,,miracle
142,Arrest of Jesus,26:50–56,14:46–49,22:52–54,18:10–12,passion
143,Sanhedrin Trial of Jesus,26:57–68,14:53–65,22:63–71,18:12–24,passion
144,Blood curse,27:24–25,,,,passion
145,Carrying the cross,27:27–33,15:20–22,23:26–32,19:16–17,passion
146,Crucifixion of Jesus,27:34–61,15:23–47,23:33–54,19:18–38,passion
147,Myrrhbearers/Mary Magdalene at the Tomb,28:1,16:1,24:1,,resurrection appearance
148,Empty tomb,28:2–8,16:2–8,24:2–12,20:1–13,resurrection appearance
149,Resurrection of Jesus,28:9–10,16:9–11,24:1–8,20:14–16,resurrection appearance
150,Noli me tangere,,,,20:17–17,resurrection appearance
151,Road to Emmaus appearance,,,24:13–32,,resurrection appearance
152,Resurrected Jesus appears to Apostles,,16:9–12,24:36–43,20:19–20,resurrection appearance
153,Great Commission,28:16–20,16:14–18,,,resurrection appearance
154,Doubting Thomas,,,,20:24–29,resurrection appearance
155,Catch of 153 fish,,,,21:1–24,miracle
156,Ascension of Jesus,,16:19,24:50–53,,resurrection appearance
157,Dispersion of the Apostles,28:19–20,16:20,,,miscellaneous
